"values","ind"
0.5518,"linSVM"
0.5524,"linSVM"
0.5441,"linSVM"
0.5519,"linSVM"
0.5535,"linSVM"
0.5338,"linSVM"
0.5299,"linSVM"
0.5434,"linSVM"
0.5459,"linSVM"
0.5528,"linSVM"
0.5434,"linSVM"
0.5372,"linSVM"
0.5447,"linSVM"
0.5446,"linSVM"
0.5578,"linSVM"
0.5465,"linSVM"
0.5598,"linSVM"
0.5537,"linSVM"
0.5493,"linSVM"
0.5495,"linSVM"
0.532,"linSVM"
0.5535,"linSVM"
0.5476,"linSVM"
0.555,"linSVM"
0.523,"linSVM"
0.5375,"linSVM"
0.5413,"linSVM"
0.5487,"linSVM"
0.5451,"linSVM"
0.5339,"linSVM"
0.5482,"linSVM"
0.5426,"linSVM"
0.5441,"linSVM"
0.5216,"linSVM"
0.5552,"linSVM"
0.5557,"linSVM"
0.538,"linSVM"
0.5376,"linSVM"
0.5355,"linSVM"
0.5346,"linSVM"
0.5478,"linSVM"
0.541,"linSVM"
0.5455,"linSVM"
0.5476,"linSVM"
0.548,"linSVM"
0.5433,"linSVM"
0.5479,"linSVM"
0.5539,"linSVM"
0.6249,"RBFSVM"
0.6134,"RBFSVM"
0.6147,"RBFSVM"
0.6126,"RBFSVM"
0.6107,"RBFSVM"
0.6244,"RBFSVM"
0.6134,"RBFSVM"
0.6018,"RBFSVM"
0.6165,"RBFSVM"
0.6171,"RBFSVM"
0.6139,"RBFSVM"
0.6154,"RBFSVM"
0.6227,"RBFSVM"
0.6115,"RBFSVM"
0.6258,"RBFSVM"
0.6147,"RBFSVM"
0.6121,"RBFSVM"
0.6119,"RBFSVM"
0.6109,"RBFSVM"
0.6237,"RBFSVM"
0.6211,"RBFSVM"
0.6126,"RBFSVM"
0.6224,"RBFSVM"
0.6211,"RBFSVM"
0.6178,"RBFSVM"
0.6194,"RBFSVM"
0.6218,"RBFSVM"
0.6195,"RBFSVM"
0.6117,"RBFSVM"
0.6146,"RBFSVM"
0.6089,"RBFSVM"
0.6139,"RBFSVM"
0.6242,"RBFSVM"
0.6133,"RBFSVM"
0.6174,"RBFSVM"
0.6057,"RBFSVM"
0.6233,"RBFSVM"
0.618,"RBFSVM"
0.6208,"RBFSVM"
0.6213,"RBFSVM"
0.621,"RBFSVM"
0.6193,"RBFSVM"
0.6171,"RBFSVM"
0.6172,"RBFSVM"
0.6124,"RBFSVM"
0.6148,"RBFSVM"
0.6223,"RBFSVM"
0.6169,"RBFSVM"
0.6109,"RBFSVM"
0.6298,"RBFSVM"
0.6169,"RBFSVM"
0.6177,"RBFSVM"
0.6105,"RBFSVM"
0.6248,"RBFSVM"
0.6193,"RBFSVM"
0.6147,"RBFSVM"
0.6218,"RBFSVM"
0.6041,"RBFSVM"
0.6107,"RBFSVM"
0.6138,"RBFSVM"
0.6082,"RBFSVM"
0.6225,"RBFSVM"
0.6162,"RBFSVM"
0.6194,"RBFSVM"
0.6192,"RBFSVM"
0.6208,"RBFSVM"
0.6268,"RBFSVM"
0.6136,"RBFSVM"
0.62,"RBFSVM"
0.6181,"RBFSVM"
0.6182,"RBFSVM"
0.6176,"RBFSVM"
0.6193,"RBFSVM"
0.6244,"RBFSVM"
0.6265,"RBFSVM"
0.6261,"RBFSVM"
0.6148,"RBFSVM"
0.6219,"RBFSVM"
0.61,"RBFSVM"
0.607,"RBFSVM"
0.6219,"RBFSVM"
0.6182,"RBFSVM"
0.6144,"RBFSVM"
0.607,"RBFSVM"
0.6258,"RBFSVM"
0.6126,"RBFSVM"
0.6161,"RBFSVM"
0.6204,"RBFSVM"
0.6144,"RBFSVM"
0.6078,"RBFSVM"
0.6096,"RBFSVM"
0.6118,"RBFSVM"
0.6234,"RBFSVM"
0.619,"RBFSVM"
0.6173,"RBFSVM"
0.6179,"RBFSVM"
0.6184,"RBFSVM"
0.6137,"RBFSVM"
0.6078,"RBFSVM"
0.617,"RBFSVM"
0.6117,"RBFSVM"
0.6221,"RBFSVM"
0.6193,"RBFSVM"
0.6174,"RBFSVM"
0.628,"RBFSVM"
0.6146,"RBFSVM"
0.6122,"RBFSVM"
0.613,"RBFSVM"
0.6091,"RBFSVM"
0.6192,"RBFSVM"
0.625,"RBFSVM"
0.6191,"RBFSVM"
0.6035,"RBFSVM"
0.6231,"RBFSVM"
0.6204,"RBFSVM"
0.6205,"RBFSVM"
0.6261,"RBFSVM"
0.6231,"RBFSVM"
0.6171,"RBFSVM"
0.6166,"RBFSVM"
0.6171,"RBFSVM"
0.6246,"RBFSVM"
0.6328,"RBFSVM"
0.6079,"RBFSVM"
0.6276,"RBFSVM"
0.618,"RBFSVM"
0.6242,"RBFSVM"
0.6183,"RBFSVM"
0.6248,"RBFSVM"
0.621,"RBFSVM"
0.6219,"RBFSVM"
0.6199,"RBFSVM"
0.6206,"RBFSVM"
0.6195,"RBFSVM"
0.6119,"RBFSVM"
0.6178,"RBFSVM"
0.6216,"RBFSVM"
0.6163,"RBFSVM"
0.6249,"RBFSVM"
0.6195,"RBFSVM"
0.6105,"RBFSVM"
0.6214,"RBFSVM"
0.6166,"RBFSVM"
0.624,"RBFSVM"
0.6259,"RBFSVM"
0.6248,"RBFSVM"
0.6153,"RBFSVM"
0.607,"RBFSVM"
0.6153,"RBFSVM"
0.609,"RBFSVM"
0.6278,"RBFSVM"
0.6272,"RBFSVM"
0.6153,"RBFSVM"
0.6212,"RBFSVM"
0.6276,"RBFSVM"
0.6104,"RBFSVM"
0.6123,"RBFSVM"
0.6168,"RBFSVM"
0.6191,"RBFSVM"
0.6125,"RBFSVM"
0.6138,"RBFSVM"
0.613,"RBFSVM"
0.6154,"RBFSVM"
0.6138,"RBFSVM"
0.6198,"RBFSVM"
0.6114,"RBFSVM"
0.6174,"RBFSVM"
0.613,"RBFSVM"
0.6214,"RBFSVM"
0.6291,"RBFSVM"
0.6202,"RBFSVM"
0.6235,"RBFSVM"
0.6136,"RBFSVM"
0.6168,"RBFSVM"
0.6219,"RBFSVM"
0.6152,"RBFSVM"
0.6101,"RBFSVM"
0.6192,"RBFSVM"
0.6233,"RBFSVM"
0.6176,"RBFSVM"
0.6092,"RBFSVM"
0.6223,"RBFSVM"
0.6204,"RBFSVM"
0.627,"RBFSVM"
0.6152,"RBFSVM"
0.613,"RBFSVM"
0.6263,"RBFSVM"
0.6176,"RBFSVM"
0.6193,"RBFSVM"
0.6132,"RBFSVM"
0.6253,"RBFSVM"
0.6115,"RBFSVM"
0.6109,"RBFSVM"
0.6214,"RBFSVM"
0.6078,"RBFSVM"
0.6281,"RBFSVM"
0.6152,"RBFSVM"
0.614,"RBFSVM"
0.6366,"RBFSVM"
0.6252,"RBFSVM"
